[2023.04.25 10:51:55] ONE: ThreeWayBetOffer(super=BetOffer(participants=[Manchester United, Aston Villa], eventIdentifier=MAN_UTD_ASTON_VILLA_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=UNIBET, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412677432, originalOdds=null), one=1.77, draw=4.30, two=4.35), DRAW: ThreeWayBetOffer(super=BetOffer(participants=[Man Utd, Aston Villa], eventIdentifier=MAN_UTD_ASTON_VILLA_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=BETFAIR, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412703214, originalOdds=[1.60, 2.20, 1.70]), one=1.57, draw=2.14, two=1.66), TWO: ThreeWayBetOffer(super=BetOffer(participants=[Manchester United, Aston Villa], eventIdentifier=MAN_UTD_ASTON_VILLA_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=BETWAY, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412715356, originalOdds=null), one=1.72, draw=3.75, two=4.00)
[2023.04.25 10:51:55] ONE: ThreeWayBetOffer(super=BetOffer(participants=[Arsenal, Chelsea], eventIdentifier=ARSENAL_CHELSEA_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=BETWAY, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412715356, originalOdds=null), one=1.75, draw=3.75, two=3.80), DRAW: ThreeWayBetOffer(super=BetOffer(participants=[Arsenal, Chelsea], eventIdentifier=ARSENAL_CHELSEA_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=BETFAIR, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412703214, originalOdds=[1.80, 1.90, 1.75]), one=1.76, draw=1.85, two=1.71), TWO: ThreeWayBetOffer(super=BetOffer(participants=[Arsenal, Chelsea], eventIdentifier=ARSENAL_CHELSEA_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=UNIBET, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412677432, originalOdds=null), one=1.77, draw=4.10, two=4.60)
[2023.04.25 10:51:55] ONE: ThreeWayBetOffer(super=BetOffer(participants=[Fulham, Manchester City], eventIdentifier=FULHAM_MAN_CITY_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=UNIBET, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412677432, originalOdds=null), one=9.00, draw=5.60, two=1.36), DRAW: ThreeWayBetOffer(super=BetOffer(participants=[Fulham, Manchester City], eventIdentifier=FULHAM_MAN_CITY_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=BETWAY, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412715355, originalOdds=null), one=7.50, draw=5.25, two=1.30), TWO: ThreeWayBetOffer(super=BetOffer(participants=[Fulham, Man City], eventIdentifier=FULHAM_MAN_CITY_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=BETFAIR, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412703213, originalOdds=[1.50, 2.40, 8.50]), one=1.47, draw=2.33, two=8.12)
[2023.04.25 10:51:55] ONE: ThreeWayBetOffer(super=BetOffer(participants=[Arsenal, Chelsea], eventIdentifier=ARSENAL_CHELSEA_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=UNIBET, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412677432, originalOdds=null), one=1.77, draw=4.10, two=4.60), DRAW: ThreeWayBetOffer(super=BetOffer(participants=[Arsenal, Chelsea], eventIdentifier=ARSENAL_CHELSEA_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=BETFAIR, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412703214, originalOdds=[1.80, 1.90, 1.75]), one=1.76, draw=1.85, two=1.71), TWO: ThreeWayBetOffer(super=BetOffer(participants=[Arsenal, Chelsea], eventIdentifier=ARSENAL_CHELSEA_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=BETWAY, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412715356, originalOdds=null), one=1.75, draw=3.75, two=3.80)
[2023.04.25 10:51:55] ONE: ThreeWayBetOffer(super=BetOffer(participants=[Fulham, Manchester City], eventIdentifier=FULHAM_MAN_CITY_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=BETWAY, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412715355, originalOdds=null), one=7.50, draw=5.25, two=1.30), DRAW: ThreeWayBetOffer(super=BetOffer(participants=[Fulham, Manchester City], eventIdentifier=FULHAM_MAN_CITY_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=UNIBET, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412677432, originalOdds=null), one=9.00, draw=5.60, two=1.36), TWO: ThreeWayBetOffer(super=BetOffer(participants=[Fulham, Man City], eventIdentifier=FULHAM_MAN_CITY_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=BETFAIR, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412703213, originalOdds=[1.50, 2.40, 8.50]), one=1.47, draw=2.33, two=8.12)
[2023.04.25 10:52:27] ONE: ThreeWayBetOffer(super=BetOffer(participants=[Aston Villa, Fulham], eventIdentifier=ASTON_VILLA_FULHAM_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=BETWAY, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412715354, originalOdds=null), one=1.83, draw=3.75, two=4.20), DRAW: ThreeWayBetOffer(super=BetOffer(participants=[Aston Villa, Fulham], eventIdentifier=ASTON_VILLA_FULHAM_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=BETFAIR, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412703212, originalOdds=[1.80, 1.90, 1.75]), one=1.76, draw=1.85, two=1.71), TWO: ThreeWayBetOffer(super=BetOffer(participants=[Aston Villa, Fulham], eventIdentifier=ASTON_VILLA_FULHAM_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=UNIBET, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412677430, originalOdds=null), one=1.83, draw=3.80, two=4.60)
[2023.04.25 10:52:27] ONE: ThreeWayBetOffer(super=BetOffer(participants=[Chelsea, Brentford], eventIdentifier=CHELSEA_BRENTFORD_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=BETFAIR, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412703212, originalOdds=[1.90, 1.80, 1.70]), one=1.85, draw=1.76, two=1.66), DRAW: ThreeWayBetOffer(super=BetOffer(participants=[Chelsea, Brentford], eventIdentifier=CHELSEA_BRENTFORD_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=UNIBET, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412677431, originalOdds=null), one=1.74, draw=3.95, two=5.00), TWO: ThreeWayBetOffer(super=BetOffer(participants=[Chelsea, Brentford], eventIdentifier=CHELSEA_BRENTFORD_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=BETWAY, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412715354, originalOdds=null), one=1.66, draw=4.00, two=5.00)
[2023.04.25 10:52:27] ONE: ThreeWayBetOffer(super=BetOffer(participants=[Aston Villa, Fulham], eventIdentifier=ASTON_VILLA_FULHAM_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=UNIBET, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412677430, originalOdds=null), one=1.83, draw=3.80, two=4.60), DRAW: ThreeWayBetOffer(super=BetOffer(participants=[Aston Villa, Fulham], eventIdentifier=ASTON_VILLA_FULHAM_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=BETFAIR, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412703212, originalOdds=[1.80, 1.90, 1.75]), one=1.76, draw=1.85, two=1.71), TWO: ThreeWayBetOffer(super=BetOffer(participants=[Aston Villa, Fulham], eventIdentifier=ASTON_VILLA_FULHAM_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=BWIN, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412746218, originalOdds=null), one=1.80, draw=3.70, two=4.33)
[2023.04.25 10:52:27] ONE: ThreeWayBetOffer(super=BetOffer(participants=[Manchester City, Arsenal], eventIdentifier=MAN_CITY_ARSENAL_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=BETWAY, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412715354, originalOdds=null), one=1.55, draw=4.33, two=5.75), DRAW: ThreeWayBetOffer(super=BetOffer(participants=[Man City, Arsenal], eventIdentifier=MAN_CITY_ARSENAL_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=BETFAIR, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412703212, originalOdds=[1.55, 2.30, 1.50]), one=1.52, draw=2.23, two=1.47), TWO: ThreeWayBetOffer(super=BetOffer(participants=[Manchester City, Arsenal], eventIdentifier=MAN_CITY_ARSENAL_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=UNIBET, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412677431, originalOdds=null), one=1.61, draw=4.50, two=5.50)
[2023.04.25 10:52:27] ONE: ThreeWayBetOffer(super=BetOffer(participants=[Chelsea, Brentford], eventIdentifier=CHELSEA_BRENTFORD_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=BETWAY, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412715354, originalOdds=null), one=1.66, draw=4.00, two=5.00), DRAW: ThreeWayBetOffer(super=BetOffer(participants=[Chelsea, Brentford], eventIdentifier=CHELSEA_BRENTFORD_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=BETFAIR, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412703212, originalOdds=[1.90, 1.80, 1.70]), one=1.85, draw=1.76, two=1.66), TWO: ThreeWayBetOffer(super=BetOffer(participants=[Chelsea, Brentford], eventIdentifier=CHELSEA_BRENTFORD_PREMIER_LEAGUE, type=THREE_WAY, bettingSourceType=UNIBET, eventCompetition=PREMIER_LEAGUE, extractedTimestamp=1682412677431, originalOdds=null), one=1.74, draw=3.95, two=5.00)
